id_absencia,id_colaborador,data_absencia,tipo_absencia,justificada,dias_ausencia,horas_ausencia
1,1,2025-11-23,Atestado,1,3,24
2,1,2025-05-10,Falta injustificada,0,1,8
3,1,2025-03-22,Atestado,1,2,16
4,2,2022-09-04,Atestado,1,3,24
5,2,2023-06-07,Falta injustificada,0,1,8
6,2,2020-07-11,Atraso,1,0,1
7,2,2022-03-31,Licença curta,1,2,16
8,3,2025-08-01,Atestado,1,3,24
9,3,2025-11-04,Atestado,1,1,8
10,3,2025-02-01,Atestado,1,2,16
11,4,2020-11-12,Atestado,1,1,8
12,4,2023-07-12,Atestado,1,3,24
13,4,2022-05-11,Atraso,1,0,1
14,4,2020-09-25,Atestado,1,3,24
15,4,2022-05-11,Atraso,1,0,1
16,4,2021-10-13,Licença curta,1,4,32
17,4,2021-09-24,Licença curta,1,3,24
18,6,2022-09-22,Atraso,1,0,2
19,6,2022-09-02,Falta injustificada,0,3,24
20,6,2022-11-28,Atraso,1,0,1
21,6,2025-06-14,Atraso,1,0,2
22,6,2023-08-05,Falta injustificada,0,3,24
23,6,2021-10-11,Atraso,1,0,2
24,6,2022-08-25,Atestado,1,1,8
25,6,2022-01-01,Atestado,1,2,16
26,6,2021-10-05,Atestado,1,1,8
27,7,2024-08-10,Atestado,1,3,24
28,7,2023-12-31,Atestado,1,1,8
29,7,2022-04-11,Licença curta,1,4,32
30,7,2024-03-13,Atraso,1,0,2
31,7,2022-11-26,Atestado,1,2,16
32,7,2021-11-28,Atestado,1,3,24
33,8,2020-08-17,Atraso,1,0,2
34,8,2022-04-04,Atestado,1,1,8
35,8,2019-12-31,Atraso,1,0,2
36,8,2019-06-09,Atraso,1,0,1
37,9,2021-12-23,Atestado,1,3,24
38,9,2022-04-14,Atestado,1,3,24
39,9,2023-06-18,Falta injustificada,0,1,8
40,9,2019-12-11,Atraso,1,0,1
41,9,2018-10-23,Falta injustificada,0,2,16
42,10,2024-05-01,Falta injustificada,0,1,8
43,10,2025-04-07,Licença curta,1,2,16
44,11,2021-02-13,Atestado,1,2,16
45,11,2024-07-20,Atestado,1,1,8
46,11,2025-02-26,Licença curta,1,4,32
47,11,2023-08-29,Atestado,1,2,16
48,11,2022-05-18,Atraso,1,0,2
49,11,2021-01-13,Atestado,1,2,16
