id_hora_extra,id_colaborador,data_hora_extra,horas_extras,horas_banco,tipo_lancamento
1,2,2021-12-24,0.91,0.0,Hora extra paga
2,2,2020-08-18,9.83,9.83,Banco de horas positivo
3,2,2022-09-24,1.49,0.0,Hora extra paga
4,2,2023-06-11,1.82,0.0,Hora extra paga
5,3,2025-07-26,4.1,4.1,Banco de horas positivo
6,4,2023-08-07,3.14,3.14,Banco de horas positivo
7,4,2022-01-30,5.45,0.0,Hora extra paga
8,4,2020-12-25,5.94,5.94,Banco de horas positivo
9,4,2021-09-13,9.05,0.0,Hora extra paga
10,4,2021-09-20,4.38,4.38,Banco de horas positivo
11,4,2021-09-29,1.77,0.0,Hora extra paga
12,4,2023-02-25,0.52,0.0,Hora extra paga
13,6,2022-06-03,4.09,0.0,Compensação
14,6,2021-08-14,2.05,0.0,Hora extra paga
15,6,2021-11-11,10.45,0.0,Hora extra paga
16,6,2022-11-18,1.99,0.0,Hora extra paga
17,6,2023-02-15,3.48,0.0,Hora extra paga
18,6,2025-02-16,1.68,1.68,Banco de horas positivo
19,6,2022-01-29,1.41,0.0,Hora extra paga
20,6,2022-04-03,10.69,0.0,Hora extra paga
21,6,2023-01-20,0.43,0.43,Banco de horas positivo
22,6,2023-05-15,1.68,0.0,Hora extra paga
23,6,2021-09-23,3.6,3.6,Banco de horas positivo
24,7,2023-09-26,4.84,0.0,Hora extra paga
25,7,2024-03-03,4.16,4.16,Banco de horas positivo
26,7,2021-07-24,2.81,2.81,Banco de horas positivo
27,7,2023-09-20,1.62,1.62,Banco de horas positivo
28,7,2021-03-05,2.74,2.74,Banco de horas positivo
29,7,2022-04-07,3.44,3.44,Banco de horas positivo
30,7,2025-11-17,1.18,0.0,Hora extra paga
31,7,2022-01-14,4.13,4.13,Banco de horas positivo
32,7,2024-12-01,0.66,0.66,Banco de horas positivo
33,7,2021-09-08,4.3,0.0,Hora extra paga
34,7,2021-07-22,2.73,2.73,Banco de horas positivo
35,7,2024-06-30,8.4,8.4,Banco de horas positivo
36,7,2022-01-12,2.8,0.0,Hora extra paga
37,8,2019-01-15,2.18,2.18,Banco de horas positivo
38,8,2021-03-02,1.16,0.0,Hora extra paga
39,8,2019-09-02,5.17,0.0,Hora extra paga
40,9,2020-12-09,3.12,3.12,Banco de horas positivo
41,9,2023-03-21,3.52,0.0,Hora extra paga
42,9,2021-02-25,2.01,0.0,Compensação
